15masstree_25rps_1baseline_8channels_latency.out,15masstree_25rps_1blender_8channels_latency.out,15masstree_25rps_1bwaves_8channels_latency.out,15masstree_25rps_1cactuBSSN_8channels_latency.out,15masstree_25rps_1cam4_8channels_latency.out,15masstree_25rps_1deepsjeng_8channels_latency.out,15masstree_25rps_1exchange2_8channels_latency.out,15masstree_25rps_1fotonik3d_8channels_latency.out,15masstree_25rps_1gcc_8channels_latency.out,15masstree_25rps_1imagick_8channels_latency.out,15masstree_25rps_1lbm_8channels_latency.out,15masstree_25rps_1leela_8channels_latency.out,15masstree_25rps_1mcf_8channels_latency.out,15masstree_25rps_1nab_8channels_latency.out,15masstree_25rps_1namd_8channels_latency.out,15masstree_25rps_1omnetpp_8channels_latency.out,15masstree_25rps_1parest_8channels_latency.out,15masstree_25rps_1perlbench_8channels_latency.out,15masstree_25rps_1povray_8channels_latency.out,15masstree_25rps_1roms_8channels_latency.out,15masstree_25rps_1wrf_8channels_latency.out,15masstree_25rps_1x264_8channels_latency.out,15masstree_25rps_1xalancbmk_8channels_latency.out,15masstree_25rps_1xz_8channels_latency.out
42555456,36393460,42805893,57021817,42478694,55792098,42492361,42638989,37580045,37676530,56454443,41213612,35962091,43113708,38605311,42380717,43224844,0,43074778,42816561,42668594,38760222,42622465,43329864
42510350,36659895,42926976,57069441,42654192,55554873,42960034,42632605,37692876,37852864,56330048,41354637,35891260,43215635,38703190,42730540,43243217,0,43199842,42819121,42854387,40249037,42805641,43473326
42552203,36832275,43217378,57149615,42684176,55750424,42959391,42752250,37727986,38312331,56383240,41393397,36903524,43241554,38846843,42800751,43282372,0,43235482,43035278,43020103,41374452,42896554,43528061
42623417,37307168,43369450,57194316,42732318,55914999,43220080,42824170,37788433,38440535,56526726,41625080,37539410,43491960,38817933,42803393,43424458,0,43375079,43252803,43255735,41724314,43215398,43843350
42711621,37569850,43442665,57144990,42986653,55963374,43457886,42986751,37831605,38759264,56414710,42095129,37659218,43510541,38882039,42847424,43548342,0,43497377,43336633,43349602,43165388,43365128,43942398
42952543,37799376,43461686,57266787,43160018,55873811,43643716,43302935,38039682,39189327,56608130,42144500,38054135,43666708,39464566,42801622,43525745,0,43962264,43450876,43344023,43294412,43760203,44490666
43242565,37844431,43494268,57295276,43440934,56054700,44011690,43563964,38208321,39469727,56661457,42610864,38415040,44527327,40632343,43269263,43589313,0,44074250,43937480,44468148,44056286,43881447,45663785
43273645,38993826,43862801,57364440,44392995,55979492,44639855,44643736,38351989,40460189,56761317,42629794,38528986,45193755,40827229,43676086,43899091,0,44291011,44053204,45115179,44472732,44276936,46138710
39808393,24704887,38514966,58920082,38644882,59456020,39207512,36423857,28798331,29323458,60681586,35739583,24224824,39249457,29701878,39034235,39976858,0,39430398,38708265,36588646,30536864,39645876,37969390
40037078,25889914,39593353,61643242,38902664,59523863,40193815,38791246,30536888,29606390,60722132,36761932,26220856,40949893,30629632,39174587,40141748,0,40838168,40516244,39442559,30848959,39839448,38714552
